study_id,series_id,phase,status,nc_n_kabsch_organs,mov_n_kabsch_organs,common_kabsch_organs,common_bone_organs,common_anchor_organs,nc_det,mov_det,det_sign_match,z_offset_mean_mm,z_offset_std_mm,xy_mean_mm,xy_max_mm,mean_centroid_3d,seg_path,flags
1.2.840.113619.2.278.3.717616.286.1587944978.330,1.2.840.113619.2.278.3.717616.286.1587944978.417.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-14.6,3.2,4.0,6.0,15.4,,LARGE_CENTROID_DIST: spleen=19.8mm | kidney_R=15.2mm | pancreas=20.0mm | gallbladder=21.8mm | IVC=15.6mm | L1=16.6mm | L2=16.6mm | L3=16.6mm
1.2.840.113619.2.278.3.717616.286.1587944978.330,1.2.840.113619.2.278.3.717616.286.1587944978.569.11,Arterial,file_missing,,,,,,,,,,,,,,../ncct_cect/vindr_ds/aligned_volumes/1.2.840.113619.2.278.3.717616.286.1587944978.330/1.2.840.113619.2.278.3.717616.286.1587944978.330_1.2.840.113619.2.278.3.717616.286.1587944978.569.11_aligned_seg_reg.nii.gz,
1.2.840.113619.2.278.3.717616.286.1587944978.649,1.2.840.113619.2.278.3.717616.286.1587944978.742.4198401,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,26.3,0.6,1.6,3.7,24.7,,LARGE_CENTROID_DIST: liver=27.1mm | spleen=25.8mm | kidney_L=26.0mm | kidney_R=26.7mm | pancreas=28.8mm | gallbladder=26.0mm | L1=30.0mm | L2=29.9mm | L3=29.8mm | spinal_cord=19.3mm
1.2.840.113619.2.278.3.717616.286.1587944978.649,1.2.840.113619.2.278.3.717616.286.1587944978.742.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,40.9,0.6,1.2,2.4,36.9,,LARGE_CENTROID_DIST: liver=40.2mm | spleen=41.0mm | kidney_L=41.8mm | kidney_R=40.6mm | pancreas=42.5mm | gallbladder=41.4mm | aorta=18.1mm | IVC=17.2mm | L1=44.3mm | L2=44.4mm | L3=44.3mm | spinal_cord=26.9mm
1.2.840.113619.2.278.3.717616.286.1587944978.934,1.2.840.113619.2.278.3.717616.286.1587944979.30.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.6,0.8,2.6,4.2,4.0,,
1.2.840.113619.2.278.3.717616.286.1587944978.934,1.2.840.113619.2.278.3.717616.286.1587944979.30.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.2,1.2,3.1,3.6,4.9,,
1.2.840.113619.2.278.3.717616.286.1587944983.828,1.2.840.113619.2.278.3.717616.286.1587944983.915.4198401,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-15.7,0.7,1.1,2.0,13.0,,LARGE_CENTROID_DIST: spleen=15.6mm | kidney_L=15.6mm | kidney_R=16.8mm | pancreas=17.3mm | IVC=15.1mm | L3=15.1mm
1.2.840.113619.2.278.3.717616.286.1587944983.828,1.2.840.113619.2.278.3.717616.286.1587944983.915.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-15.3,1.1,1.8,3.0,13.1,,LARGE_CENTROID_DIST: kidney_L=15.4mm | kidney_R=17.1mm | pancreas=16.3mm | IVC=21.9mm | L3=15.1mm
1.2.840.113619.2.278.3.717616.286.1587944984.611,1.2.840.113619.2.278.3.717616.286.1587944984.696.4198401,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-21.3,0.5,2.0,2.4,21.6,,LARGE_CENTROID_DIST: liver=22.1mm | spleen=21.4mm | kidney_L=21.2mm | kidney_R=20.8mm | pancreas=23.3mm | gallbladder=23.4mm | aorta=24.3mm | IVC=22.3mm | L1=22.6mm | L2=22.4mm | L3=22.3mm
1.2.840.113619.2.278.3.717616.286.1587944984.611,1.2.840.113619.2.278.3.717616.286.1587944984.696.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-11.0,2.3,1.8,2.6,11.6,,LARGE_CENTROID_DIST: aorta=16.1mm | IVC=22.2mm
1.2.840.113619.2.278.3.717616.286.1593493247.138,1.2.840.113619.2.278.3.717616.286.1593493247.251.4198401,Arterial,file_missing,,,,,,,,,,,,,,../ncct_cect/vindr_ds/aligned_volumes/1.2.840.113619.2.278.3.717616.286.1593493247.138/1.2.840.113619.2.278.3.717616.286.1593493247.138_1.2.840.113619.2.278.3.717616.286.1593493247.251.4198401_aligned_seg_reg.nii.gz,
1.2.840.113619.2.278.3.717616.286.1593493247.138,1.2.840.113619.2.278.3.717616.286.1593493247.251.4202498,Venous,BAD,8.0,10.0,8.0,4.0,2.0,1.0,1.0,True,-4.0,0.4,2.3,2.7,8.2,,LARGE_CENTROID_DIST: L3=15.1mm
1.2.840.113619.2.278.3.717616.286.1593493247.138,1.2.840.113619.2.278.3.717616.286.1593493247.458.11,Arterial,BAD,8.0,11.0,8.0,4.0,2.0,1.0,1.0,True,-190.3,3.3,6.3,7.1,159.6,,BAD_Z_OFFSET=-190.3mm | LARGE_CENTROID_DIST: kidney_L=193.7mm | kidney_R=187.1mm | aorta=61.2mm | IVC=123.4mm | L1=205.5mm | L2=214.2mm | L3=213.4mm | spinal_cord=78.3mm
1.2.840.113619.2.278.3.717616.286.1593493249.833,1.2.840.113619.2.278.3.717616.286.1593493249.959.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,5.5,1.2,1.5,2.1,6.4,,
1.2.840.113619.2.278.3.717616.286.1593493249.833,1.2.840.113619.2.278.3.717616.286.1593493249.959.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,6.3,1.4,1.4,2.1,6.4,,
1.2.840.113619.2.278.3.717616.286.1593493262.858,1.2.840.113619.2.278.3.717616.286.1593493262.956.4198401,Arterial,OK,11.0,11.0,11.0,4.0,4.0,1.0,1.0,True,-1.0,1.5,4.7,5.2,5.7,,
